Word,Frequency
know,4416
oh,4201
like,3321
yeah,3209
okay,2962
right,2671
get,2567
well,2468
go,2366
hey,2358
think,2276
good,2198
michael,2109
one,2092
really,2020
na,1984
going,1977
would,1920
want,1852
got,1702
yes,1685
let,1564
gon,1553
dwight,1552
uh,1515
come,1451
jim,1328
see,1275
could,1266
time,1255
back,1203
ok,1201
say,1191
pam,1183
need,1129
great,1082
look,1066
ca,1059
thank,1054
um,1049
people,1040
guys,1009
take,1001
little,978
make,947
mean,918
sorry,915
tell,911
god,889
us,884
man,882
something,873
way,873
thing,842
work,819
day,818
love,805
please,742
andy,733
two,717
said,678
much,678
office,671
maybe,669
call,663
never,659
give,638
sure,636
new,628
talk,615
alright,614
wait,613
nice,608
even,607
actually,604
lot,604
guy,600
stop,597
thought,570
today,563
put,561
big,543
wow,529
ever,527
anything,524
first,521
everyone,519
job,511
things,502
everybody,501
thanks,492
feel,491
fine,480
hi,475
party,472
kind,456
three,454
ryan,451
better,447
last,446
paper,439
still,435
best,430
hello,426
kevin,422
around,407
cool,407
angela,404
fun,401
talking,390
made,387
life,383
wanted,381
company,375
ah,375
help,374
keep,372
phyllis,371
always,371
idea,371
name,370
guess,369
someone,368
business,367
place,364
nothing,359
night,358
stanley,358
baby,357
bad,356
find,354
oscar,354
pretty,350
every,349
years,349
room,348
real,347
everything,347
old,345
year,340
done,338
next,334
toby,334
might,333
long,332
told,331
home,327
getting,325
wan,322
listen,321
away,316
jan,316
second,315
else,307
car,307
whoa,304
coming,304
try,302
hear,301
stuff,296
show,296
erin,295
huh,294
ask,292
five,291
also,290
together,290
scott,288
probably,287
whole,285
darryl,281
believe,279
money,279
wrong,278
happy,277
saying,276
leave,274
mifflin,274
use,274
dunder,274
trying,272
went,270
manager,269
ta,267
boss,266
another,266
anyone,263
friends,263
called,260
care,259
scranton,259
friend,257
sales,256
hot,255
thinking,255
hard,248
check,246
person,246
meredith,245
head,243
many,241
kelly,240
remember,237
meeting,236
already,236
start,236
play,235
hold,234
tonight,232
morning,231
enough,231
understand,231
phone,230
may,229
question,227
stay,227
part,225
funny,224
totally,224
meet,223
weird,221
bit,220
crazy,219
left,218
used,217
looking,217
point,216
face,216
heard,216
christmas,215
sounds,215
somebody,214
girl,214
number,214
woman,213
stupid,212
mind,211
looks,209
ready,208
wants,207
important,207
happened,206
david,206
later,205
course,205
world,205
says,204
ha,204
making,202
deal,202
end,202
welcome,201
watch,200
makes,197
game,197
hmm,197
fire,196
though,196
sometimes,195
problem,194
exactly,193
wo,193
lunch,191
excuse,190
desk,189
minutes,189
schrute,189
family,189
seen,189
bring,186
mom,185
true,185
saw,184
hand,183
four,181
cause,181
eat,181
bye,181
nope,180
hit,180
supposed,180
break,179
hate,179
working,178
week,178
awesome,178
taking,177
kids,177
kidding,177
gets,176
move,176
ten,175
times,173
goes,172
yet,172
sit,171
couple,171
knew,170
run,170
yep,168
wish,167
different,166
came,166
